399	451	127
399	473	38
399	546	27
399	552	4
399	594	19
399	600	47
399	606	14
399	623	23
399	633	4
399	645	2425
399	766	28
399	782	21
399	816	309
399	817	11
399	838	589
399	840	24
399	862	39
399	917	255
399	938	15
399	967	6
399	1158	339
399	1203	216
399	1208	548
399	1318	33
399	1359	25
399	1388	7
399	1394	22
399	1412	34
399	1414	22
399	1420	59
399	1424	19
399	1434	4
399	1436	29
399	1449	60
399	1505	14
399	1507	13
399	1526	79
399	1558	59
399	1562	31
399	1625	29
399	1732	37
399	1740	20
399	1757	7
399	1862	10
399	1869	20
399	1871	40
399	1880	25
399	1892	204
399	1904	55
399	1905	144
399	1932	37
399	1948	62
399	2224	25
399	2246	5
399	2414	82
399	2524	39
399	2535	17
399	2649	23
399	2653	208
399	2778	17
399	2804	95
399	2891	22
399	2896	37
399	2907	6
399	2939	6
399	2949	14
399	2982	15
399	2997	6
399	3008	350
399	3029	32
399	3034	9
399	3161	3
399	3216	6
399	3291	38
399	3301	14
399	3318	49
399	3547	11
399	3641	9
399	3644	52
399	3911	26
399	3913	8
399	3916	14
399	3979	65
399	3994	5
399	4025	9
399	4041	179
399	4043	86
399	4078	62
399	4079	82
399	4136	18
399	4150	15
399	4161	36
399	4173	2
399	4175	32
399	4176	16
399	4190	17
399	4197	1
399	4199	3
399	4213	581
399	4232	3
399	4234	3
399	4239	3
399	4401	2
399	4426	349
399	4441	45
399	4462	5
399	4468	68
399	4517	36
399	4521	324
399	4527	11
399	4585	33
399	4593	10
399	4627	1
399	4633	152
399	4659	42
399	4660	14
399	4667	24
399	4670	461
399	4675	11
399	4722	701
399	4728	9
399	4742	21
399	4771	20
399	4781	8
399	4799	153
399	4900	17
399	4904	88
399	4908	24
399	4917	53
399	4918	178
399	4931	3
399	4932	2
399	4947	11
399	4951	21
399	4992	35
399	5034	97
399	5101	54
399	5124	572
399	5127	13
399	5131	155
399	5132	42
399	5190	3
399	5336	7
399	5367	1042
399	5521	6
399	5528	2
399	5558	75
399	5563	539
399	5595	356
399	5655	52
399	5723	1
399	5740	333
399	5743	49
399	5760	50
399	5761	30
399	5773	20
399	5894	15
399	5898	34
399	5918	13
399	5930	6
399	5932	7
399	5933	60
399	5966	224
399	6026	47
399	6041	157
399	6116	61
399	6182	59
399	6307	181
399	6314	53
399	6423	154
399	6426	118
399	6428	362
399	6441	100
399	6443	150
399	6444	201
399	6448	550
399	6455	72
399	6456	177
399	6472	15
399	6513	16
399	6520	13
399	6603	3
399	6607	14
399	6613	32
399	6649	19
399	6658	17
399	6664	264
399	6670	1421
399	6673	467
399	6674	52
399	6790	114
399	7041	54
